id,symbol,name,last_updated,page_number
cellframe,cell,Cellframe,2024-05-29 20:04:52.861000+00:00,5
celo,celo,Celo,2024-05-29 20:01:36.527000+00:00,1
celo_dollar,cusd,Celo Dollar,2024-05-29 20:07:04.702000+00:00,4
celo_euro,ceur,Celo Euro,2024-05-29 20:07:55.773000+00:00,7
celsius_degree_token,cel,Celsius Network,2024-05-29 20:04:24.819000+00:00,3
centrifuge,cfg,Centrifuge,2024-05-29 20:01:10.042000+00:00,1
cere_network,cere,Cere Network,2024-05-29 20:07:32.498000+00:00,4
certicos_2,cert,Certicos,2024-05-29 20:06:59.889000+00:00,7
certik,ctk,Shentu,2024-05-29 20:02:39.009000+00:00,2
cetus_protocol,cetus,Cetus Protocol,2024-05-29 20:07:43.219000+00:00,4
chain_2,xcn,Onyxcoin,2024-05-29 20:04:54.124000+00:00,3
chain_key_bitcoin,ckbtc,Chain-key Bitcoin,2024-05-29 19:59:15.120000+00:00,5
chainflip,flip,Chainflip,2024-05-29 20:04:22.461000+00:00,3
chainge_finance,xchng,Chainge,2024-05-29 20:04:32.712000+00:00,3
chaingpt,cgpt,ChainGPT,2024-05-29 20:01:30.909000+00:00,2
chainlink,link,Chainlink,2024-05-29 20:02:03.220000+00:00,1
chainswap_3,cswap,ChainSwap,2024-05-29 20:03:31.852000+00:00,3
chappyz,chapz,Chappyz,2024-05-29 20:04:32.551000+00:00,6
chartai,cx,ChartAI,2024-05-29 20:09:05.666000+00:00,7
cheelee,cheel,Cheelee,2024-05-29 20:00:52.994000+00:00,1
cheems,cheems,Cheems,2024-05-29 20:04:37.861000+00:00,6
cheqd_network,cheq,CHEQD Network,2024-05-29 20:07:01.525000+00:00,4
chex_token,chex,CHEX Token,2024-05-29 20:01:46.165000+00:00,2
chia,xch,Chia,2024-05-29 20:01:13.250000+00:00,1
chickencoin,chkn,Chickencoin,2024-05-29 20:04:35.418000+00:00,6
chihuahua_token,huahua,Chihuahua Chain,2024-05-29 20:03:44.955000+00:00,6
chiliz,chz,Chiliz,2024-05-29 20:01:40.365000+00:00,1
chirpley,chrp,Chirpley,2024-05-29 20:04:46.690000+00:00,6
choise,cho,Choise.com,2024-05-29 20:08:51.818000+00:00,7
chompcoin,chomp,ChompCoin,2024-05-29 20:03:18.670000+00:00,6
chromaway,chr,Chromia,2024-05-29 20:02:27.615000+00:00,2
chronobank,time,chrono.tech,2024-05-29 20:05:08.105000+00:00,5
chumbai_valley,chmb,Chumbi Valley,2024-05-29 20:08:31.620000+00:00,7
circuits_of_value,coval,Circuits of Value,2024-05-29 20:07:50.130000+00:00,4
civic,cvc,Civic,2024-05-29 20:01:35.641000+00:00,2
clash_of_lilliput,col,Clash of Lilliput,2024-05-29 20:04:54.849000+00:00,3
clearpool,cpool,Clearpool,2024-05-29 20:01:37.423000+00:00,2
clore_ai,clore,Clore.ai,2024-05-29 20:04:27.571000+00:00,3
clover_finance,clv,Clover Finance,2024-05-29 20:04:33.193000+00:00,3
cobak_token,cbk,Cobak,2024-05-29 20:04:41.770000+00:00,3
cocos_bcx,combo,COMBO,2024-05-29 20:04:20.807000+00:00,3
cogito_protocol,cgv,Cogito Finance,2024-05-29 20:07:55.962000+00:00,7
coin98,c98,Coin98,2024-05-29 20:01:47.310000+00:00,2
coin_capsule,caps,Ternoa,2024-05-29 20:04:48.182000+00:00,5
coinbase_wrapped_staked_eth,cbeth,Coinbase Wrapped Staked ETH,2024-05-29 20:01:52.407000+00:00,1
coinex_token,cet,CoinEx,2024-05-29 20:01:38.784000+00:00,2
coinmetro,xcm,Coinmetro,2024-05-29 20:03:43.303000+00:00,4
coinweb,cweb,Coinweb,2024-05-29 20:07:42.086000+00:00,4
coinye_west,coinye,Coinye West,2024-05-29 20:08:23.372000+00:00,7
colony,cly,Colony,2024-05-29 20:04:54.678000+00:00,5
commune_ai,comai,Commune AI,2024-05-29 20:04:23.503000+00:00,3
compound_basic_attention_token,cbat,cBAT,2024-05-29 20:05:43.696000+00:00,4
compound_ether,ceth,cETH,2024-05-29 20:01:17.647000+00:00,1
compound_governance_token,comp,Compound,2024-05-29 20:01:37.362000+00:00,1
compound_uniswap,cuni,cUNI,2024-05-29 19:55:41.764000+00:00,5
compound_usd_coin,cusdc,cUSDC,2024-05-29 20:01:16.255000+00:00,3
